method,split,seed,episodes,success_rate,mean_edge_f1,mean_birth_f1,mean_death_f1,mean_graph_edit,mean_component_accuracy,mean_jam_f1,mean_safety_violation_rate,mean_chain_contact_rate,mean_pocket_contact_rate,mean_fixture_contact_rate,mean_wall_contact_rate,mean_final_progress,mean_final_y_error,mean_energy
conformal_graph_guard,contact_sensor_noise_burst,6,6,0.16667,0.68375,0.69595,0.43611,0.14566,0.21805,0.16667,0.00000,0.65694,0.59375,0.00347,0.00694,0.78710,0.05654,24.28942
conformal_graph_guard,contact_sensor_noise_burst,7,6,0.33333,0.81396,0.78194,0.66065,0.09028,0.48472,0.34568,0.00000,0.44236,0.37014,0.00000,0.01042,0.69712,0.09793,18.96964
conformal_graph_guard,delayed_topology_transition,0,6,0.00000,0.24329,0.22361,0.66632,0.17882,0.22916,0.16667,0.40625,0.00347,0.00000,0.36806,0.01736,0.38048,0.15772,30.09574
conformal_graph_guard,delayed_topology_transition,1,6,0.00000,0.14606,0.08623,0.80382,0.18489,0.20486,0.66667,0.80903,0.00000,0.00000,0.23264,0.02430,0.35276,0.17542,14.87252
conformal_graph_guard,delayed_topology_transition,2,6,0.00000,0.25787,0.11227,0.61678,0.20660,0.40972,0.33333,0.54167,0.01736,0.00000,0.42361,0.01389,0.23297,0.11063,37.58601
conformal_graph_guard,delayed_topology_transition,3,6,0.00000,0.36829,0.33796,0.52419,0.17535,0.32292,0.33333,0.67708,0.01042,0.01042,0.52431,0.01736,0.25694,0.19813,13.54052
conformal_graph_guard,delayed_topology_transition,4,6,0.00000,0.19016,0.11343,0.71400,0.17969,0.29861,0.16667,0.67708,0.00000,0.00000,0.31944,0.02431,0.39982,0.21139,49.07089
conformal_graph_guard,delayed_topology_transition,5,6,0.00000,0.15382,0.10822,0.82928,0.17925,0.20486,0.16667,0.67361,0.00000,0.00347,0.19791,0.01389,0.38361,0.15162,14.93587
conformal_graph_guard,delayed_topology_transition,6,6,0.00000,0.37303,0.21470,0.43345,0.19922,0.46875,0.16667,0.80903,0.00347,0.00000,0.63194,0.01736,0.22865,0.22216,11.43503
conformal_graph_guard,delayed_topology_transition,7,6,0.00000,0.13658,0.08739,0.82801,0.17838,0.20139,0.50000,0.62153,0.00347,0.00000,0.20139,0.02778,0.29555,0.16163,14.28131
conformal_graph_guard,distractor_contact,0,6,0.00000,0.58750,0.52315,0.96238,0.10764,0.52431,0.50000,0.00000,0.01736,0.00347,0.01736,0.01042,0.20218,0.19264,25.44956
conformal_graph_guard,distractor_contact,1,6,0.00000,0.38356,0.38947,0.72280,0.17969,0.31944,0.00000,0.00000,0.21875,0.25347,0.01042,0.00347,0.39847,0.17458,24.72250
conformal_graph_guard,distractor_contact,2,6,0.16667,0.40627,0.40486,0.64352,0.20512,0.28125,0.33333,0.00000,0.32430,0.37847,0.00000,0.00000,0.53363,0.03486,26.79041
conformal_graph_guard,distractor_contact,3,6,0.00000,0.51562,0.52245,0.78877,0.12717,0.34722,0.17647,0.00000,0.21181,0.18403,0.01736,0.00000,0.23781,0.14647,14.26550
conformal_graph_guard,distractor_contact,4,6,0.33333,0.45308,0.48387,0.64757,0.16692,0.16698,0.16667,0.00000,0.41134,0.35455,0.00347,0.00000,0.50269,0.04247,13.76030
conformal_graph_guard,distractor_contact,5,6,0.00000,0.41586,0.39005,0.88472,0.15017,0.32639,0.16667,0.00000,0.07292,0.06597,0.01042,0.00347,0.04786,0.12482,14.55830
conformal_graph_guard,distractor_contact,6,6,0.00000,0.53380,0.49248,0.94618,0.12370,0.47569,0.16667,0.00000,0.01042,0.00000,0.02083,0.00000,0.08095,0.10843,12.20589
conformal_graph_guard,distractor_contact,7,6,0.16667,0.30944,0.28669,0.81991,0.18541,0.16875,0.16667,0.00000,0.21041,0.16319,0.01042,0.00347,0.43278,0.08303,14.83061
conformal_graph_guard,fixture_near_wall_jam,0,6,0.00000,0.74884,0.68403,0.97917,0.05382,0.67708,1.00000,0.00000,0.00000,0.00000,0.00000,0.01736,0.00000,0.02704,40.57384
conformal_graph_guard,fixture_near_wall_jam,1,6,0.00000,0.75463,0.67245,0.97917,0.05339,0.65625,0.83333,0.00000,0.00000,0.00000,0.00000,0.01042,0.00000,0.03449,40.63677
conformal_graph_guard,fixture_near_wall_jam,2,6,0.00000,0.82928,0.78067,0.96875,0.04210,0.75695,0.83333,0.00000,0.00000,0.00000,0.00000,0.00347,0.00000,0.03122,25.95300
conformal_graph_guard,fixture_near_wall_jam,3,6,0.00000,0.46586,0.43345,0.92361,0.11198,0.35764,0.50000,0.00000,0.00000,0.00000,0.00000,0.00694,0.00000,0.03167,67.72015
conformal_graph_guard,fixture_near_wall_jam,4,6,0.00000,0.67303,0.61343,0.94792,0.07248,0.57986,0.83333,0.00000,0.00000,0.00000,0.00000,0.00694,0.00000,0.03919,68.90243
conformal_graph_guard,fixture_near_wall_jam,5,6,0.00000,0.52373,0.44618,0.93056,0.10373,0.39583,0.66667,0.00000,0.00000,0.00000,0.00000,0.00694,0.00000,0.03145,69.90669
conformal_graph_guard,fixture_near_wall_jam,6,6,0.00000,0.74537,0.69329,0.96875,0.06077,0.67014,0.66667,0.00000,0.00000,0.00000,0.00000,0.00694,0.00000,0.03748,40.74239
conformal_graph_guard,fixture_near_wall_jam,7,6,0.00000,0.78588,0.64584,0.97917,0.06033,0.63889,1.00000,0.00000,0.00000,0.00000,0.00000,0.00694,0.00000,0.04117,40.55244
conformal_graph_guard,fixture_topology_shift,0,6,0.00000,0.73276,0.55498,0.80428,0.09115,0.52431,0.66667,0.24306,0.00694,0.00000,0.22569,0.02083,0.21318,0.12981,39.04922
conformal_graph_guard,fixture_topology_shift,1,6,0.00000,0.64282,0.53183,0.74745,0.11849,0.46181,0.66667,0.30903,0.00694,0.13542,0.25347,0.00347,0.24629,0.06346,31.06974
conformal_graph_guard,fixture_topology_shift,2,6,0.00000,0.68924,0.46180,0.88079,0.10417,0.43403,0.83333,0.29514,0.00000,0.00000,0.20139,0.01736,0.09823,0.03284,23.73340
conformal_graph_guard,fixture_topology_shift,3,6,0.00000,0.77905,0.42963,0.91424,0.08594,0.40625,1.00000,0.27431,0.00694,0.00000,0.19097,0.00694,0.27175,0.13584,23.41808
conformal_graph_guard,fixture_topology_shift,4,6,0.16667,0.75420,0.59825,0.84901,0.08011,0.66458,0.83333,0.26736,0.02857,0.02381,0.17143,0.00000,0.13763,0.01845,34.20784
conformal_graph_guard,fixture_topology_shift,5,6,0.00000,0.73495,0.54861,0.93565,0.08160,0.48611,0.50000,0.27083,0.00000,0.00000,0.07639,0.00694,0.00000,0.01857,45.86827
conformal_graph_guard,fixture_topology_shift,6,6,0.00000,0.84838,0.69792,0.97222,0.05078,0.66667,0.83333,0.05556,0.00694,0.00000,0.06597,0.00347,0.17080,0.07534,29.48601
conformal_graph_guard,fixture_topology_shift,7,6,0.00000,0.79919,0.66030,0.91551,0.06467,0.63889,0.83333,0.22569,0.00000,0.00000,0.13889,0.00000,0.00000,0.01462,29.38884
conformal_graph_guard,friction_mass_shift,0,6,0.00000,0.66643,0.63947,0.82870,0.10504,0.48958,0.50000,0.00000,0.21875,0.18403,0.00000,0.00694,0.61883,0.08937,23.30662
conformal_graph_guard,friction_mass_shift,1,6,0.00000,0.53866,0.49248,0.94618,0.10720,0.47569,0.33333,0.00000,0.07292,0.04861,0.00000,0.01042,0.56393,0.12477,39.18051
conformal_graph_guard,friction_mass_shift,2,6,0.16667,0.66400,0.55428,0.78460,0.11667,0.38542,0.33333,0.00000,0.27153,0.22569,0.00000,0.01389,0.76783,0.14041,25.63820
conformal_graph_guard,friction_mass_shift,3,6,0.00000,0.63692,0.63021,0.78588,0.11024,0.46528,0.33333,0.00000,0.24306,0.21528,0.00347,0.00347,0.49043,0.09001,13.72202
conformal_graph_guard,friction_mass_shift,4,6,0.16667,0.61389,0.62454,0.71412,0.10625,0.36458,0.33333,0.00000,0.33403,0.28472,0.00000,0.01389,0.83030,0.17701,25.29036
conformal_graph_guard,friction_mass_shift,5,6,0.33333,0.65254,0.64121,0.72245,0.12240,0.40833,0.33333,0.00000,0.36945,0.30208,0.00000,0.00694,0.65227,0.08082,37.05429
conformal_graph_guard,friction_mass_shift,6,6,0.00000,0.54548,0.50347,0.95023,0.12022,0.48611,0.33333,0.00000,0.07986,0.04167,0.00347,0.01042,0.69754,0.19840,26.51876
conformal_graph_guard,friction_mass_shift,7,6,0.16667,0.66609,0.68588,0.67211,0.11580,0.41319,0.33333,0.00000,0.39305,0.34028,0.00000,0.00000,0.60049,0.10054,31.02922
conformal_graph_guard,nominal_push_to_pocket,0,6,0.16667,0.71215,0.81968,0.28495,0.13681,0.11667,0.00000,0.00000,0.82361,0.75000,0.00000,0.00000,0.80057,0.06756,20.78981
conformal_graph_guard,nominal_push_to_pocket,1,6,0.16667,0.52655,0.59514,0.54606,0.14175,0.16875,0.16667,0.00000,0.52500,0.46528,0.00347,0.00694,0.70660,0.09019,12.11262
conformal_graph_guard,nominal_push_to_pocket,2,6,0.33333,0.71632,0.81875,0.30810,0.13646,0.12917,0.00000,0.00000,0.82083,0.72917,0.00000,0.00000,0.80507,0.04140,21.77110
conformal_graph_guard,nominal_push_to_pocket,3,6,0.33333,0.54581,0.60359,0.49468,0.15912,0.16597,0.03030,0.00000,0.60208,0.51389,0.00000,0.00694,0.63426,0.08741,12.44062
conformal_graph_guard,nominal_push_to_pocket,4,6,0.33333,0.55419,0.62824,0.46065,0.17040,0.12778,0.00000,0.00000,0.62639,0.54861,0.00000,0.00347,0.79852,0.03818,31.87684
conformal_graph_guard,nominal_push_to_pocket,5,6,0.33333,0.73646,0.84421,0.28287,0.12908,0.13264,0.00000,0.00000,0.84514,0.75347,0.00000,0.00347,0.80900,0.05102,19.08347
conformal_graph_guard,nominal_push_to_pocket,6,6,0.00000,0.61840,0.73148,0.34028,0.15365,0.08681,0.00000,0.00000,0.72917,0.66667,0.00000,0.00347,0.80564,0.02923,33.14461
conformal_graph_guard,nominal_push_to_pocket,7,6,0.00000,0.70578,0.82523,0.24526,0.14193,0.08681,0.00000,0.00000,0.83333,0.77083,0.00000,0.00000,0.80331,0.05487,21.87896
conformal_graph_guard,pocket_relocation,0,6,0.16667,0.56418,0.62037,0.52488,0.13307,0.20486,0.16667,0.13542,0.50278,0.30903,0.15972,0.00694,0.43371,0.15432,16.16990
conformal_graph_guard,pocket_relocation,1,6,0.16667,0.70988,0.79583,0.27361,0.13976,0.12153,0.00980,0.00000,0.83055,0.75555,0.00000,0.00000,0.80426,0.11610,12.08364
conformal_graph_guard,pocket_relocation,2,6,0.00000,0.59886,0.67477,0.26736,0.16276,0.15972,0.00901,0.00000,0.67708,0.74653,0.01389,0.00694,0.80585,0.08754,24.92254
conformal_graph_guard,pocket_relocation,3,6,0.16667,0.41192,0.43773,0.50359,0.21016,0.15486,0.00000,0.00000,0.45903,0.52431,0.00000,0.00347,0.75013,0.09574,12.81404
conformal_graph_guard,pocket_relocation,4,6,0.16667,0.56497,0.65613,0.27234,0.18889,0.19514,0.03921,0.00000,0.66389,0.73264,0.00347,0.00000,0.79141,0.08255,12.16995
conformal_graph_guard,pocket_relocation,5,6,0.50000,0.66035,0.73580,0.34448,0.13799,0.17500,0.03001,0.00000,0.76111,0.69329,0.00347,0.00694,0.67992,0.08824,11.84549
conformal_graph_guard,pocket_relocation,6,6,0.50000,0.66722,0.72203,0.22308,0.17461,0.20482,0.01515,0.00000,0.76426,0.82575,0.00000,0.00347,0.82729,0.06892,12.51563
conformal_graph_guard,pocket_relocation,7,6,0.33333,0.67608,0.74221,0.32655,0.15393,0.26341,0.04167,0.00000,0.69631,0.69957,0.00000,0.00347,0.68167,0.15242,12.12352
contact_implicit_mpc_baseline,actuator_limit_chain,0,6,0.00000,0.86342,0.61458,0.89236,0.06380,0.50000,1.00000,0.76389,0.00000,0.00000,0.77083,0.00347,0.11439,0.02974,15.65390
contact_implicit_mpc_baseline,actuator_limit_chain,1,6,0.00000,0.80370,0.59086,0.79861,0.10633,0.41319,0.83333,0.76389,0.00347,0.00347,0.73611,0.00347,0.17689,0.05063,13.38867
contact_implicit_mpc_baseline,actuator_limit_chain,2,6,0.00000,0.82882,0.53171,0.85533,0.08767,0.41319,0.83333,0.63542,0.15625,0.14930,0.61111,0.01042,0.34995,0.09604,13.00132
contact_implicit_mpc_baseline,actuator_limit_chain,3,6,0.00000,0.94282,0.89815,0.94329,0.02257,0.84375,0.83333,0.65972,0.15625,0.14930,0.71528,0.01042,0.46862,0.16167,11.39237
contact_implicit_mpc_baseline,actuator_limit_chain,4,6,0.00000,0.87431,0.76852,0.93287,0.04080,0.70833,1.00000,0.66319,0.01042,0.00694,0.69444,0.01736,0.66181,0.17488,14.82582
contact_implicit_mpc_baseline,actuator_limit_chain,5,6,0.00000,0.82439,0.38194,0.92361,0.09896,0.32986,0.66667,0.80556,0.01736,0.01042,0.88889,0.00694,0.43307,0.08139,9.69170
contact_implicit_mpc_baseline,actuator_limit_chain,6,6,0.00000,0.92373,0.77894,0.94329,0.03776,0.74653,1.00000,0.80556,0.01042,0.00694,0.90972,0.01389,0.42880,0.12951,10.74330
contact_implicit_mpc_baseline,actuator_limit_chain,7,6,0.00000,0.89453,0.67824,0.93403,0.05165,0.62847,0.83333,0.80556,0.01389,0.00694,0.88542,0.00347,0.11822,0.08302,13.54331
contact_implicit_mpc_baseline,combined_extreme_stress,0,6,0.00000,0.63877,0.26215,0.82292,0.16320,0.11805,0.66667,0.32292,0.00000,0.00000,0.20486,0.00347,0.11618,0.02249,33.89692
contact_implicit_mpc_baseline,combined_extreme_stress,1,6,0.00000,0.75868,0.47743,0.88773,0.10460,0.37500,1.00000,0.25000,0.00000,0.00000,0.16319,0.00000,0.00000,0.02835,26.10048
contact_implicit_mpc_baseline,combined_extreme_stress,2,6,0.00000,0.54375,0.11979,0.89236,0.15408,0.05208,0.83333,0.12500,0.00000,0.00000,0.08681,0.01389,0.00000,0.06778,36.04093
contact_implicit_mpc_baseline,combined_extreme_stress,3,6,0.00000,0.70926,0.35648,0.85880,0.11805,0.25347,0.50000,0.26042,0.15278,0.14930,0.13542,0.00347,0.27682,0.04783,26.38488
contact_implicit_mpc_baseline,combined_extreme_stress,4,6,0.00000,0.53368,0.19306,0.81829,0.20139,0.07292,0.66667,0.31250,0.00000,0.00000,0.19445,0.01389,0.00000,0.01610,49.13908
contact_implicit_mpc_baseline,combined_extreme_stress,5,6,0.00000,0.63669,0.28519,0.81713,0.17101,0.13195,0.50000,0.26736,0.01042,0.00000,0.15972,0.01042,0.10991,0.13913,30.15951
contact_implicit_mpc_baseline,combined_extreme_stress,6,6,0.00000,0.50278,0.15185,0.88889,0.27995,0.11458,0.33333,0.13194,0.00347,0.00000,0.08333,0.00347,0.08314,0.05557,24.62172
contact_implicit_mpc_baseline,combined_extreme_stress,7,6,0.00000,0.76574,0.46065,0.94329,0.09201,0.40278,1.00000,0.28125,0.00000,0.00000,0.25347,0.00000,0.00000,0.01007,24.14798
contact_implicit_mpc_baseline,combined_stress,0,6,0.33333,0.90882,0.86273,0.91273,0.03134,0.76319,0.50000,0.26042,0.43819,0.40625,0.25000,0.01389,0.67639,0.10768,13.25572
contact_implicit_mpc_baseline,combined_stress,1,6,0.16667,0.84359,0.66875,0.89329,0.06276,0.58403,0.83333,0.24306,0.14514,0.12500,0.20972,0.01389,0.51905,0.15345,14.67119
contact_implicit_mpc_baseline,combined_stress,2,6,0.00000,0.90069,0.73842,0.93056,0.04427,0.65278,0.50000,0.22917,0.47569,0.44792,0.17708,0.00347,0.62540,0.07494,16.58243
contact_implicit_mpc_baseline,combined_stress,3,6,0.00000,0.83414,0.70648,0.82523,0.07726,0.59722,0.66667,0.36458,0.31945,0.30556,0.31597,0.00694,0.63304,0.06022,14.21022
contact_implicit_mpc_baseline,combined_stress,4,6,0.00000,0.78553,0.66551,0.75579,0.08898,0.44792,1.00000,0.46875,0.01389,0.00347,0.33333,0.01736,0.48881,0.15881,20.58426
contact_implicit_mpc_baseline,combined_stress,5,6,0.16667,0.85979,0.74942,0.89583,0.07187,0.68542,0.66667,0.24653,0.29306,0.28125,0.23611,0.01042,0.43528,0.05776,14.86271
contact_implicit_mpc_baseline,combined_stress,6,6,0.00000,0.87731,0.73148,0.94097,0.04557,0.69097,0.50000,0.12153,0.47917,0.44792,0.10417,0.01042,0.77621,0.09861,13.23410
contact_implicit_mpc_baseline,combined_stress,7,6,0.00000,0.83900,0.51389,0.93634,0.08073,0.46181,0.66667,0.51736,0.31597,0.30208,0.44097,0.00694,0.50990,0.11838,19.19873
contact_implicit_mpc_baseline,contact_chain_transfer,0,6,0.00000,0.92963,0.92708,0.83912,0.02951,0.76389,0.83333,0.00000,0.15972,0.14930,0.00000,0.01389,0.42671,0.12944,11.56153
contact_implicit_mpc_baseline,contact_chain_transfer,1,6,0.00000,0.97569,0.96180,1.00000,0.00478,0.96180,0.83333,0.00000,0.15972,0.14930,0.00000,0.00000,0.13666,0.02231,12.15825
contact_implicit_mpc_baseline,contact_chain_transfer,2,6,0.00000,0.96412,0.93403,0.99306,0.00911,0.92708,0.83333,0.00000,0.15972,0.14930,0.00000,0.01042,0.35220,0.09928,10.66329
contact_implicit_mpc_baseline,contact_chain_transfer,3,6,0.00000,0.96644,0.94097,0.99306,0.00825,0.93403,0.66667,0.00000,0.31944,0.29861,0.00000,0.00694,0.46349,0.08067,11.58102
contact_implicit_mpc_baseline,contact_chain_transfer,4,6,0.00000,0.95602,0.93056,0.98611,0.01042,0.91667,1.00000,0.00000,0.00000,0.00000,0.00000,0.01389,0.18491,0.08896,22.69056
contact_implicit_mpc_baseline,contact_chain_transfer,5,6,0.00000,0.92836,0.90972,0.84606,0.03125,0.75347,0.50000,0.00000,0.47917,0.45139,0.00000,0.00347,0.60817,0.10770,11.78479
contact_implicit_mpc_baseline,contact_chain_transfer,6,6,0.16667,0.90347,0.94514,0.70926,0.04349,0.65208,0.66667,0.00000,0.30972,0.27431,0.00000,0.00347,0.38031,0.05003,11.47386
contact_implicit_mpc_baseline,contact_chain_transfer,7,6,0.16667,0.93102,0.93125,0.86320,0.02569,0.79444,0.50000,0.00000,0.46944,0.42361,0.00000,0.00347,0.50184,0.07795,11.27463
contact_implicit_mpc_baseline,contact_sensor_noise_burst,0,6,0.33333,0.96128,0.93380,0.98958,0.01163,0.92222,0.16667,0.00000,0.78403,0.69792,0.00000,0.00347,0.79456,0.04428,11.75702
contact_implicit_mpc_baseline,contact_sensor_noise_burst,1,6,0.00000,0.96501,0.93287,0.98843,0.01042,0.91667,0.16667,0.00000,0.80208,0.74652,0.00347,0.00347,0.79197,0.04603,11.36144
contact_implicit_mpc_baseline,contact_sensor_noise_burst,2,6,0.33333,0.89066,0.70093,0.97639,0.04931,0.67917,0.33333,0.00000,0.59444,0.54861,0.00000,0.00694,0.78194,0.08234,11.36206
contact_implicit_mpc_baseline,contact_sensor_noise_burst,3,6,0.33333,0.93696,0.82176,0.99167,0.02587,0.80000,0.16667,0.00000,0.77083,0.69792,0.00000,0.00000,0.68038,0.01026,11.37294
contact_implicit_mpc_baseline,contact_sensor_noise_burst,4,6,0.33333,0.93705,0.84699,0.98611,0.02621,0.83194,0.33333,0.13542,0.62291,0.54861,0.15972,0.00694,0.77199,0.08436,10.93807
contact_implicit_mpc_baseline,contact_sensor_noise_burst,5,6,0.16667,0.95896,0.92403,0.98704,0.01259,0.90764,0.16667,0.00000,0.78889,0.72222,0.00347,0.00347,0.78424,0.04104,11.43388
contact_implicit_mpc_baseline,contact_sensor_noise_burst,6,6,0.16667,0.90906,0.74282,0.98611,0.04271,0.73472,0.16667,0.00000,0.78889,0.72222,0.00347,0.00694,0.79369,0.04764,11.40338
contact_implicit_mpc_baseline,contact_sensor_noise_burst,7,6,0.33333,0.95046,0.92384,0.99306,0.01154,0.91806,0.16667,0.00000,0.77569,0.70139,0.00000,0.00347,0.77772,0.05600,11.18104
